Id,Title,Type,Release_year,Runtime,Genres
ts20945,The Three Stooges,SHOW,1934,19,comedy
tm19248,The General,MOVIE,1926,78,action
tm82253,The Best Years of Our Lives,MOVIE,1946,171,romance
tm83884,His Girl Friday,MOVIE,1940,92,comedy
tm56584,In a Lonely Place,MOVIE,1950,94,thriller
tm160494,Stagecoach,MOVIE,1939,96,western
tm87233,It's a Wonderful Life,MOVIE,1946,130,drama
tm19424,Detour,MOVIE,1945,66,thriller
tm116781,My Man Godfrey,MOVIE,1936,95,comedy
tm112005,Marihuana,MOVIE,1936,57,crime
tm22806,Intolerance: Love's Struggle Throughout the Ages,MOVIE,1916,197,history
tm88001,The Stranger,MOVIE,1946,95,thriller
tm141715,The Phantom of the Opera,MOVIE,1925,101,horror
tm112415,Tell Your Children,MOVIE,1938,66,drama
tm2838,The Most Dangerous Game,MOVIE,1932,63,thriller
tm155610,Wuthering Heights,MOVIE,1939,104,drama
tm3781,The Woman in the Window,MOVIE,1944,99,drama
tm3541,"Steamboat Bill, Jr.",MOVIE,1928,70,drama
tm82560,The Little Foxes,MOVIE,1941,115,romance
tm64852,Stella Dallas,MOVIE,1937,106,drama
tm120863,Dodsworth,MOVIE,1936,101,romance
tm66903,Sands of Iwo Jima,MOVIE,1950,100,drama
tm74259,The Pride of the Yankees,MOVIE,1942,128,drama
tm112424,Things to Come,MOVIE,1936,89,scifi
tm58979,Cyrano de Bergerac,MOVIE,1950,112,drama
tm18385,Scarlet Street,MOVIE,1945,103,thriller
tm162994,Made for Each Other,MOVIE,1939,92,comedy
tm2721,The Thief of Bagdad,MOVIE,1924,149,romance
tm59314,D.O.A.,MOVIE,1950,83,crime
tm74188,Jungle Book,MOVIE,1942,106,fantasy
tm159958,Love Affair,MOVIE,1939,88,romance
tm88469,The Bishop's Wife,MOVIE,1947,109,fantasy
tm100997,Of Human Bondage,MOVIE,1934,83,drama
tm70212,Our Town,MOVIE,1940,90,romance
tm159975,The Little Princess,MOVIE,1939,93,comedy
tm56594,The Jackie Robinson Story,MOVIE,1950,76,drama
tm89268,The Secret Life of Walter Mitty,MOVIE,1947,105,romance
